vertices,time,obj,iter,time,obj,iter,time,obj,iter
43,0.14987587928771973,398,365,0.38072705268859863,398,193,0.20551109313964844,398,348
93,0.2723860740661621,564,475,0.5259809494018555,564,390,1.510354995727539,564,520
143,4.1967689990997314,907,3720,1.778376817703247,907,2029,10.805519104003906,907,918
193,4.046416997909546,1196,8973,7.874686002731323,1196,2666,39.35156822,1196,2854
243,9.574243068695068,1645,13792,7.747495889663696,1645,4552,136.01801204681396,1645.0000000000011,4222
293,16.242995977401733,1807,12784,17.133337020874023,1807,6134,300,0,0
343,19.708560943603516,2071,20397,10.316707849502563,2071,1856,300,0,0
393,59.08784794807434,2383,45017,30.64401388168335,2383,9184,300,0,0
443,53.18846607208252,2720,25485,30.28790593147278,2720,5779,300,0,0
